neighborhood,listing_count,occupancy_rate,estimated_occupancy_from_calendar,number_of_reviews,reviews_per_month,review_scores_rating,calculated_host_listings_count
EIGHTH WARD,12,0.22990867579908678,0.35342465753424657,73.75,3.2571428571428567,4.942857142857143,2.0
ELEVENTH WARD,30,0.15269406392694063,0.10063926940639269,30.966666666666665,1.6480000000000001,4.4508,19.966666666666665
FIFTEENTH WARD,15,0.33059360730593607,0.1347945205479452,81.73333333333333,1.87,4.911333333333333,4.066666666666666
FIFTH WARD,19,0.08478731074260995,0.13871665465032443,16.263157894736842,0.933125,4.368125,18.0
FIRST WARD,9,0.23470319634703196,0.3582952815829528,44.111111111111114,1.5062499999999999,4.6925,2.5555555555555554
FOURTEENTH WARD,29,0.34662257912139827,0.4580066131317903,104.44827586206897,2.2971428571428567,4.9121428571428565,7.068965517241379
FOURTH WARD,17,0.15519742143432713,0.33892022562449636,56.76470588235294,1.762,4.655333333333333,7.294117647058823
NINTH WARD,36,0.1611111111111111,0.29497716894977166,48.75,1.2040625,4.783125,5.055555555555555
SECOND WARD,43,0.33482000637145587,0.2842943612615482,122.0,2.7478571428571428,4.733333333333333,6.209302325581396
SEVENTH WARD,13,0.22634351949420445,0.26638566912539513,46.92307692307692,1.455,4.738333333333333,7.846153846153846
SIXTH WARD,106,0.249418454380977,0.2475316619281468,79.0,2.4283333333333337,4.733666666666666,5.528301886792453
TENTH WARD,49,0.14459043891529214,0.4077718758736371,28.244897959183675,1.0237500000000002,4.77175,10.10204081632653
THIRD WARD,33,0.13300124533001245,0.27031963470319637,29.0,1.3052000000000001,4.6432,3.5757575757575757
THIRTEENTH WARD,39,0.22915349490691958,0.41974007727432383,46.23076923076923,1.4297297297297298,4.835945945945946,8.717948717948717
TWELFTH WARD,3,0.038356164383561646,0.19360730593607303,7.666666666666667,0.2866666666666667,4.8933333333333335,1.0
